Player,EVENTS_PLAYED,POINTS,POINT_RANKING,POINTS PER EVENT,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,ROUNDS_PLAYED,TOTAL_SG:PUTTING,AVG_Driving_DISTANCE,UP_AND_DOWN_%,BIRDIE_OR_BETTER,BIRDIE_OR_BETTER_PER_ROUND,MISSED_GIR,FAIRWAY_HIT_%,GIR_RANK,SAND_SAVE%,TOTAL_O/U_PAR,Three_PUTT%,TOTAL_3_PUTTS,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,AVG_BALL_SPEED,AVG_SPIN_RATE,AVG_SCORE,TOTAL_STROKES,TOTAL_ROUNDS,AGE
Fabian Gomez,28,221,160,7.89,0,0,88,0.056,291.1,58.85,286,3.404761905,486,64.99,70,43.2,53,2.71,41,-0.107,-0.062,-0.015,-0.03,165.03,2475.7,71.02,5929,84,39
Wesley Bryan,23,219,161,9.52,0,0,69,18.354,280.4,60.17,281,4.194029851,467,55.41,184,49.58,48,2.07,25,-0.814,-1.443,0.222,0.407,163.44,2389,71.552,4770,67,32
Martin Flores,29,215,162,7.41,0,0,92,-20.821,300,54.89,286,3.325581395,521,54.92,102,40.65,73,3.23,50,-0.278,-0.097,-0.083,-0.098,171,2317.8,71.458,6112,86,36
Stephan Jaeger,26,211,163,8.12,0,0,81,-9.095,299.2,56.76,252,3.36,444,58.76,91,46.97,56,2.81,38,0.054,0.045,-0.166,0.175,169.4,2817.5,71.356,5316,75,32
Blayne Barber,22,202,164,9.18,0,0,69,-1.323,294.7,57.46,208,3.104477612,362,64.67,22,52.73,38,3.23,39,-0.019,0.101,-0.047,-0.073,166.91,2639.8,70.835,4699,67,28
Xinjun Zhang,28,195,165,6.96,0,1,81,-24.884,298.7,58.2,259,3.453333333,445,65.33,93,49.23,44,4.52,61,-0.297,0.139,-0.254,-0.182,169.29,2747.4,71.486,5330,75,31
Cameron Percy,16,191,166,11.94,0,2,56,-8.392,295.6,57.3,157,3.14,274,63.66,30,54.79,24,2.44,22,0.49,0.241,0.039,0.21,166.61,2216.1,70.909,3503,50,44
Dominic Bozzelli,20,190,167,9.50,0,0,65,18.799,297,58.86,269,4.138461538,457,55.69,185,44.8,54,2.39,28,-0.363,-0.244,-0.252,0.133,171.08,2724.3,71.179,4603,65,26
Zac Blair,20,176,168,8.80,0,0,64,9.34,279.5,61.43,215,3.706896552,350,62.76,100,61.63,24,2.11,22,0.12,-0.345,0.072,0.394,158.44,2798.2,71.215,4089,58,29
Lanto Griffin,26,175,169,6.73,0,0,80,-7.758,302.4,56.35,235,3.175675676,417,54.52,73,50.91,42,3.3,44,-0.162,-0.05,-0.034,-0.078,178.59,2451.1,71.145,5228,74,30
Nate Lashley,17,168,170,9.88,0,0,51,2.853,293.9,60.59,163,3.468085106,269,60.58,57,48.57,21,2.36,20,0.228,0.111,0.036,0.08,168.96,2484.4,70.999,3318,47,35
Jonas Blixt,23,167,171,7.26,0,0,67,11.722,293.1,56.83,237,3.885245902,417,60.3,180,52.13,26,2.82,31,-0.791,-0.424,-0.563,0.196,165.21,2496.8,72.134,4383,61,30
Jonathan Randolph,25,166,172,6.64,0,1,71,6.907,289.4,59.83,277,4.261538462,463,62.18,188,54.03,44,3.16,37,-0.992,-0.271,-0.538,-0.182,162.51,2650.9,71.945,4652,65,34
Ricky Barnes,22,164,173,7.45,0,1,65,15.195,290.6,57.4,221,3.745762712,385,47.15,156,51.65,30,2.45,26,-0.703,-1.019,0.059,0.257,169.94,2427.3,71.663,4179,59,39
D.A. Points,25,162,174,6.48,0,1,63,5.274,280.8,53.32,233,3.819672131,437,60.47,191,57.66,45,3.19,35,-1.559,-1.069,-0.541,0.051,160.2,2578,73.019,4414,61,41
Ethan Tracy,23,157,175,6.83,0,0,72,-1.408,299,54.88,236,3.470588235,430,60.25,137,34.86,51,3.68,45,-0.786,-0.054,-0.423,-0.309,171.76,2756.4,72.038,4857,68,28
Robert Streb,29,155,176,5.34,0,1,78,-4.83,292.6,52.89,247,3.337837838,467,54.11,135,45,70,2.78,37,-0.5,-0.68,0.096,0.084,171.43,2864.9,71.905,5301,74,34
Brett Stegmaier,21,149,177,7.10,0,0,67,18.83,295.4,56.44,184,3.016393443,326,58.38,14,48.28,20,3.01,33,-0.353,-0.135,0.078,-0.296,166.03,2219.9,71.191,4301,61,35
Rob Oppenheim,26,148,178,5.69,0,0,74,2.407,285.2,59.55,262,3.852941176,440,56.26,150,60,29,3.51,43,-0.586,-0.662,0.026,0.05,166.5,2809.1,71.532,4830,68,31
Jonathan Byrd,24,147,179,6.13,0,0,70,-5.087,291.7,58.31,207,3.338709677,355,58.59,58,57.65,21,3.14,35,-0.16,-0.542,0.043,0.339,166.28,2646.5,71.398,4382,62,38
Cody Gribble,25,141,180,5.64,0,0,71,10.838,301,53.3,234,3.6,439,55.45,177,48.72,47,2.74,32,-1.02,-0.212,-0.696,-0.111,168.33,2127.3,72.112,4667,65,27
Steve Wheatcroft,20,138,181,6.90,0,1,60,-5.892,288.9,61.03,213,3.672413793,349,69.79,99,47.73,35,2.59,27,-0.211,0.112,-0.065,-0.258,162.91,2541.4,71.631,4111,58,34
